[2026-04-03T16:53:44+00:00] [INFO] Correo de prueba enviado | {"recipient":"jcares@pccurico.cl"}
[2026-04-09T02:26:39+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-09T02:26:40+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-09T02:26:41+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-09T02:26:41+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-09T02:26:43+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-09T02:26:44+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-09T08:39:09+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-09T08:39:09+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-09T08:39:10+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-09T08:39:10+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-09T08:39:12+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-09T08:39:13+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-09T10:22:50+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-09T10:22:50+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-09T10:22:51+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-09T10:22:52+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-09T10:22:53+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-09T10:22:54+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-09T12:50:29+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-09T12:50:29+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-09T12:50:30+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-09T12:50:31+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-09T12:50:32+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-09T12:50:33+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-09T13:04:18+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-09T13:04:18+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-09T13:04:19+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-09T13:04:20+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-09T13:04:21+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-09T13:04:22+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-09T15:23:53+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-09T15:23:53+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-09T15:23:55+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-09T15:23:55+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-09T15:23:57+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-09T15:23:58+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-09T20:58:59+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-09T20:58:59+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-09T20:59:00+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-09T20:59:01+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-09T20:59:04+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-09T20:59:04+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-10T02:29:57+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-10T02:29:57+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-10T02:29:58+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-10T02:29:59+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-10T02:30:00+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-10T02:30:02+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-10T03:58:41+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-10T03:58:41+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-10T03:58:42+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-10T03:58:43+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-10T03:58:44+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-10T03:58:46+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-10T05:26:36+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-10T05:26:36+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-10T05:26:37+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-10T05:26:37+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-10T05:26:39+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-10T05:26:40+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-10T12:02:41+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-10T12:02:41+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-10T12:02:42+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-10T12:02:43+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-10T12:02:44+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-10T12:02:45+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-10T17:25:48+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-10T17:25:48+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-10T17:25:49+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-10T17:25:49+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-10T17:25:51+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-10T17:25:52+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-11T01:19:07+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-11T01:19:07+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-11T01:19:08+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-11T01:19:09+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-11T01:19:11+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-11T01:19:12+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-11T01:58:33+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-11T01:58:33+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-11T01:58:34+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-11T01:58:34+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-11T01:58:36+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-11T01:58:37+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-11T06:33:02+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-11T06:33:03+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-11T06:33:04+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-11T06:33:04+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-11T06:33:06+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-11T06:33:07+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-11T08:06:45+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-11T08:06:45+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-11T08:06:46+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-11T08:06:46+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-11T08:06:48+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-11T08:06:49+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-11T18:25:22+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-11T18:25:22+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-11T18:25:23+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-11T18:25:24+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-11T18:25:25+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-11T18:25:26+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-11T19:02:18+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-11T19:02:18+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-11T19:02:19+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-11T19:02:19+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-11T19:02:21+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-11T19:02:22+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
